field,n_evaluable,agree,partial,disagree,missing_or_unavailable,agree_pct,agree_or_partial_pct,notes
year,212,201,8,3,0,94.8,98.6,Exact year match
title,212,210,1,1,0,99.1,99.5,"Normalized string similarity (≥0.80 agree, ≥0.55 partial)"
authors,212,113,24,75,0,53.3,64.6,Surname set Jaccard
ilsa_assessment,196,188,3,5,16,95.9,97.4,ILSA program keywords (PISA/TIMSS/…)
ml_methods,198,127,35,36,14,64.1,81.8,ML technique keywords; primary technique bonus
software,162,2,37,123,50,1.2,24.1,Often absent in JSON schema → many unavailable
countries,168,101,25,42,44,60.1,75.0,Country names/codes; multi-country free text limited
dependent_outcome,212,88,78,46,0,41.5,78.3,CSV DV vs JSON target_variable/outcome_summary
journal_venue,198,178,11,9,14,89.9,95.5,CSV Journal vs JSON metadata.venue
